Source,Serial.Number,Start.Time,Segment.Start.Time,Segment.Duration,UpDown.mean,UpDown.median,UpDown.var,UpDown.sd,UpDown.mad,Degrees.mean,Degrees.median,Degrees.var,Degrees.sd,Degrees.mad,Step.count,Step.sd,Step.mad,Principal.Frequency.median,Principal.Frequency.mad,Principal.Frequency.ratio,Light.mean,Light.max,Temp.mean,Magnitude.mean,Activity
5,13894,1358329448,09:44:08,65,-52.063,-52.435,66.736,8.169,3.992,128.569,125,876.687,29.609,7.413,0,NA,0,0.7,0.89,Inf,48,59,26,1.038,cycle
7,13894,1358329514,09:45:14,91,-33.87,-34.987,241.895,15.553,6.168,156.692,143,1143.193,33.811,11.861,7,1995.571,369.167,0.2,0.297,Inf,69,101,25.5,1.077,cycle
8,13894,1358329605,09:46:45,60,-30.882,-32.254,47.258,6.874,4.806,145.217,143,305.461,17.477,10.378,0,NA,0,0.2,0.148,Inf,78,104,25.2,1.053,cycle
9,13894,1358329665,09:47:45,31,10.566,30.837,1483.575,38.517,28.78,147.71,144,1162.48,34.095,17.791,4,609.877,354.341,0.1,0.148,Inf,60,91,25,1.05,cycle
10,13894,1358329696,09:48:16,99,-33.692,-37.334,156.026,12.491,5.135,146.101,143,172.01,13.115,11.861,0,NA,0,0.15,0.222,Inf,67,115,25,1.066,cycle
11,13894,1358329795,09:49:55,42,8.278,11.122,109.902,10.483,10.377,153.405,163.5,604.003,24.576,23.722,0,NA,0,0.1,0.148,Inf,33,91,24.9,1.07,cycle
12,13894,1358329837,09:50:37,36,9.88,9.366,12.382,3.519,3.536,147.861,148,20.98,4.58,3.706,0,NA,0,0.4,0.519,Inf,75,83,24.8,1.044,cycle
13,13894,1358329873,09:51:13,102,4.918,5.57,108.102,10.397,5.088,142.382,140,149.605,12.231,7.413,0,NA,0,0.1,0,Inf,70,91,24.8,1.056,cycle
14,13894,1358329975,09:52:55,25,5.099,4.737,7.548,2.747,2.364,146.44,145,24.423,4.942,5.93,0,NA,0,0.05,0.074,Inf,86,91,24.9,1.054,cycle
16,13894,1358330013,09:53:33,149,5.406,4.665,144.156,12.006,10.146,157.154,148,485.158,22.026,20.756,0,NA,0,0.2,0.148,Inf,61,96,24.9,1.041,cycle
18,13894,1358330171,09:56:11,50,9.644,12.364,469.725,21.673,5.779,210.7,228,2491.235,49.912,25.945,3,668.579,241.664,0.1,0,Inf,39,96,25.4,1.014,cycle
2,13899,1358330166,09:56:06,50,43.07,59.198,1460.825,38.221,29.237,102.72,104,1112.41,33.353,35.582,3,1084.915,1043.009,0.1,0.148,8,49,101,29.3,1.061,cycle
4,13899,1358330229,09:57:09,30,6.564,9.835,2198.689,46.89,62.642,168.1,164,2399.61,48.986,40.771,1,491.439,515.203,0.1,0,Inf,50,179,28,1.022,cycle
5,13899,1358330259,09:57:39,50,-13.098,-15.376,486.629,22.06,27.388,146.5,143.5,138.133,11.753,6.672,0,NA,0,0.1,0,Inf,58,115,27.7,1.057,cycle
6,13899,1358330309,09:58:29,129,2.995,13.33,417.217,20.426,5.398,164.628,165,168.86,12.995,10.378,0,NA,0,2.4,3.41,Inf,70,112,27.7,1.054,cycle
7,13899,1358330438,10:00:38,28,12.543,13.259,13.329,3.651,2.18,189.536,187.5,204.628,14.305,14.826,0,NA,0,1.2,0.815,Inf,62,83,27.7,1.052,cycle
8,13899,1358330466,10:01:06,38,4.188,3.071,14.672,3.83,2.428,147.5,146,136.851,11.698,5.93,0,NA,0,0.1,0,Inf,22,48,27.8,1.082,cycle
9,13899,1358330504,10:01:44,50,-11.443,-27.103,618.816,24.876,20.913,158.54,159,147.886,12.161,14.085,1,1414.921,1483.341,0.1,0.148,Inf,79,117,27.9,1.05,cycle
10,13899,1358330554,10:02:34,31,6.818,2.946,100.217,10.011,6.819,153.71,152,267.946,16.369,4.448,0,NA,0,0.3,0,Inf,20,96,28.1,1.062,cycle
12,13899,1358330597,10:03:17,25,-29.054,-32.361,526.904,22.954,7.934,155.44,152,293.007,17.117,10.378,2,905.399,892.525,0.1,0,Inf,80,93,28.7,1.081,cycle
13,13899,1358330622,10:03:42,28,11.809,12.458,37.511,6.125,5.859,169.071,163.5,370.735,19.254,8.896,0,NA,0,0.1,0,Inf,38,117,28.7,1.095,cycle
14,13899,1358330650,10:04:10,64,-1.744,11.752,645.439,25.405,6.6,180.172,183,565.129,23.772,11.119,2,2520.872,1684.234,2.5,3.558,Inf,65,123,28.7,1.045,cycle
15,13899,1358330714,10:05:14,59,1.485,14.261,709.882,26.644,12.429,178.407,179,659.211,25.675,19.274,0,NA,0,1.95,2.076,Inf,71,101,28.9,1.053,cycle
16,13899,1358330773,10:06:13,47,14.704,14.92,175.44,13.245,4.488,170.447,166,291.122,17.062,10.378,0,NA,0,0.15,0.148,Inf,79,128,29,1.055,cycle
17,13899,1358330820,10:07:00,51,66.76,77.171,606.519,24.628,0.485,129.059,130,2820.616,53.109,2.965,1,2580.233,2705.004,3.8,5.634,2,17,29,28.8,1.036,cycle
18,13899,1358330871,10:07:51,28,74.946,74.707,2.588,1.609,0.381,100.964,102,13.295,3.646,1.483,0,NA,0,0.1,0.074,3,11,19,28.3,1.05,cycle
19,13899,1358330899,10:08:19,24,12.33,15.927,734.608,27.104,22.235,26.708,4.5,5905.433,76.847,26.687,2,715.291,447.745,0.1,0,Inf,11,77,27.9,0.978,cycle
2,13897,1358330170,09:56:10,32,22.223,22.781,605.668,24.61,17.519,177.375,195.5,3879.016,62.282,80.06,4,795.882,564.871,0.2,0,Inf,48,104,31.8,1.064,cycle
3,13897,1358330202,09:56:42,42,3.808,10.802,1374.7,37.077,20.265,194.095,190.5,1134.527,33.683,37.065,4,860.146,464.054,0.2,0.148,Inf,49,101,30.8,1.008,cycle
5,13897,1358330247,09:57:27,36,-5.395,2.618,350.923,18.733,11.285,160.806,164.5,373.247,19.32,20.756,0,NA,0,0.3,0.297,Inf,59,104,30.2,1.073,cycle
6,13897,1358330283,09:58:03,33,-21.012,-26.487,274.842,16.578,10.656,141.879,145,144.297,12.012,8.896,0,NA,0,0.1,0.148,Inf,81,109,29.9,1.066,cycle
7,13897,1358330316,09:58:36,67,-5.132,-5.098,11.287,3.36,3.055,160.254,159,45.071,6.713,5.93,0,NA,0,0.1,0,Inf,1,85,30.1,1.073,cycle
8,13897,1358330383,09:59:43,50,-12.317,-5.762,187.492,13.693,9.027,150.64,149.5,54.194,7.362,3.706,0,NA,0,0.1,0,Inf,61,104,30.1,1.095,cycle
9,13897,1358330433,10:00:33,34,-2.96,0.406,167.894,12.957,2.956,141.676,144.5,100.65,10.032,9.637,0,NA,0,0.2,0.148,Inf,48,109,30.2,1.051,cycle
10,13897,1358330467,10:01:07,93,-4.399,4.729,388.127,19.701,8.583,150.667,150,195.377,13.978,11.861,1,3201.072,3355.865,0.1,0,Inf,42,107,30.4,1.056,cycle
12,13897,1358330562,10:02:42,50,0.674,10.725,524.683,22.906,9.534,144.46,144.5,172.743,13.143,8.896,0,NA,0,0.1,0.148,Inf,47,96,30.7,1.088,cycle
13,13897,1358330612,10:03:32,35,9.923,20.766,683.756,26.149,8.701,150.971,149,575.793,23.996,19.274,0,NA,0,0.1,0.074,Inf,44,88,30.6,1.117,cycle
14,13897,1358330647,10:04:07,43,-1.38,0.628,75.067,8.664,5.617,141.605,137,188.007,13.712,4.448,0,NA,0,0.1,0.148,Inf,48,112,30.5,1.066,cycle
15,13897,1358330690,10:04:50,50,-7.452,3.371,471.826,21.722,4.235,148.28,146,1349.553,36.736,8.154,0,NA,0,0.1,0,Inf,25,101,30.4,1.074,cycle
16,13897,1358330740,10:05:40,39,-18.585,-29.925,359.049,18.949,9.256,154.051,153,292.103,17.091,14.826,0,NA,0,0.1,0,Inf,61,96,31.1,1.088,cycle
17,13897,1358330779,10:06:19,55,-1.266,1.894,224.32,14.977,8.441,158.382,162,2841.722,53.308,19.274,3,1026.722,935.521,0.1,0,Inf,23,101,31.5,1.053,cycle
18,13897,1358330834,10:07:14,36,-76.629,-77.478,29.347,5.417,0.537,128.222,132,477.206,21.845,1.483,0,NA,0,37.9,10.971,0.2,26,27,31.3,1.019,cycle
19,13897,1358330870,10:07:50,29,-79.204,-79.393,1.562,1.25,0.635,92.069,87,592.638,24.344,4.448,0,NA,0,40.4,9.489,0.333,26,27,30.6,1.026,cycle
2,13899,1358339389,12:29:49,60,-7.572,-6.902,361.897,19.024,7.261,132.233,143,3511.165,59.255,12.602,3,1504.868,1105.278,0.2,0.297,1.75,97,139,24.6,1.07,cycle
4,13899,1358339451,12:30:51,42,-7.058,-5.396,1415.583,37.624,33.695,56.905,46,1714.771,41.41,30.393,3,588.47,733.146,0.4,0.593,Inf,39,133,25,0.987,cycle
5,13899,1358339493,12:31:33,39,14.648,13.713,17.945,4.236,4.761,122.026,121,32.815,5.728,4.448,0,NA,0,0.1,0.074,Inf,123,128,25.5,1.076,cycle
6,13899,1358339532,12:32:12,64,27.49,25.732,211.448,14.541,13.652,97.062,91,1503.425,38.774,51.15,8,823.119,443.297,1.2,1.186,Inf,73,128,26.2,1.048,cycle
7,13899,1358339596,12:33:16,27,7.052,-0.482,533.685,23.102,24.958,61.593,57,1363.328,36.923,32.617,0,NA,0,0.8,0.89,Inf,44,125,26.6,0.999,cycle
8,13899,1358339623,12:33:43,99,13.809,14.378,412.223,20.303,13,83.848,91,1727.375,41.562,44.478,13,1384.153,331.361,0.95,0.89,Inf,73,125,27,1.085,cycle
10,13899,1358339734,12:35:34,21,15.099,27.547,1576.537,39.706,26.509,81.095,73,2276.89,47.717,42.995,5,297.55,213.494,0.6,0.148,Inf,47,123,27.4,1.005,cycle
11,13899,1358339755,12:35:55,82,16.217,7.03,514.409,22.681,7.861,134.049,139.5,1976.615,44.459,11.119,3,2129.502,2080.829,0.1,0,14,109,128,27.7,1.066,cycle
12,13899,1358339837,12:37:17,31,19.915,11.055,990.15,31.467,32.916,54,52,1209,34.771,11.861,1,2021.618,2119.377,0.2,0.297,Inf,25,72,28.2,0.999,cycle
14,13899,1358339873,12:37:53,41,6.494,6.151,21.338,4.619,3.404,137.073,132,148.07,12.168,5.93,0,NA,0,0.1,0,Inf,121,128,28.5,1.06,cycle
15,13899,1358339914,12:38:34,61,29.631,24.093,404.303,20.107,9.215,134.492,144,1702.554,41.262,7.413,2,3463.237,10.378,0.1,0.148,Inf,101,123,28.8,1.116,cycle
16,13899,1358339975,12:39:35,76,7.568,9.802,259.622,16.113,16.556,97.132,102,2741.076,52.355,68.2,2,1680.66,2201.661,0.1,0,Inf,73,123,29.2,1.083,cycle
2,13897,1358339400,12:30:00,41,10.062,4.601,456.062,21.356,18.279,178.415,165,1329.799,36.466,44.478,2,1237.106,1792.463,0.1,0,Inf,55,112,26.7,1.132,cycle
3,13897,1358339441,12:30:41,52,4.677,6.51,1263.895,35.551,39.298,214.712,222.5,1875.582,43.308,28.911,7,439.532,446.263,0.1,0,Inf,27,101,27.2,1.045,cycle
4,13897,1358339493,12:31:33,57,-16.015,-18.79,284.626,16.871,9.215,166.737,166,442.233,21.029,20.756,2,506.188,234.251,0.25,0.371,Inf,72,117,27.7,1.062,cycle
5,13897,1358339550,12:32:30,84,-7.202,-11.434,1068.28,32.685,25.66,214.762,225,1534.232,39.169,37.806,4,725.753,173.464,0.9,0.593,Inf,35,109,28.3,1.04,cycle
6,13897,1358339634,12:33:54,35,-14.866,-14.185,42.732,6.537,5.893,174.943,169,159.408,12.626,4.448,0,NA,0,1.4,0,5,60,83,28.7,1.055,cycle
7,13897,1358339669,12:34:29,82,-6.832,-3.569,926.802,30.443,33.95,222.024,234,2433.308,49.329,30.393,13,668.925,214.977,0.4,0.445,Inf,22,93,29.1,0.975,cycle
8,13897,1358339751,12:35:51,60,-23.319,-14.497,503.827,22.446,11.123,178.883,166,1749.156,41.823,13.343,1,3954.848,4146.091,0.2,0.148,Inf,66,99,29.4,1.115,cycle
9,13897,1358339811,12:36:51,26,-7.631,-7.843,61.131,7.819,3.677,172.769,172,12.425,3.525,2.965,0,NA,0,2.95,3.262,Inf,64,85,29.5,1.072,cycle
10,13897,1358339837,12:37:17,32,-22.873,-12.664,1766.24,42.027,39.792,234.219,234,1198.176,34.615,22.239,3,829.346,384.735,0.1,0.148,Inf,24,77,29.6,1.002,cycle
11,13897,1358339869,12:37:49,45,-13.321,-13.126,38.508,6.205,5.684,171.422,172,39.84,6.312,4.448,0,NA,0,1.5,1.038,Inf,65,91,29.7,1.081,cycle
13,13897,1358339918,12:38:38,40,-17.414,-11.75,128.469,11.334,6.468,163.025,162,147.871,12.16,5.189,0,NA,0,1.5,1.779,Inf,78,91,30,1.059,cycle
14,13897,1358339958,12:39:18,79,-11.159,-12.591,379.965,19.493,10.4,195,178,2734.821,52.296,31.135,5,1518.322,731.663,0.1,0,Inf,47,93,30.2,1.052,cycle
16,13897,1358340051,12:40:51,125,-78.726,-78.849,1.655,1.287,0.552,131.08,132,61.881,7.866,1.483,0,NA,0,15.3,15.716,2,29,29,29.2,1.021,cycle
2,13894,1358340151,12:42:31,76,-14.832,-3.954,1785.166,42.251,37.644,192.224,198,1396.283,37.367,31.135,13,483.048,383.993,0.15,0.222,Inf,32,96,25.9,1.053,cycle
3,13894,1358340227,12:43:47,56,6.321,10.168,419.383,20.479,8.307,203.964,211.5,1439.235,37.937,10.378,2,1904.864,1682.751,1.25,1.631,Inf,29,117,25.8,1.038,cycle
4,13894,1358340283,12:44:43,31,13.502,20.81,343.734,18.54,11.554,177.613,186,648.445,25.465,11.861,0,NA,0,0.2,0.148,Inf,39,115,26.1,1.069,cycle
5,13894,1358340314,12:45:14,49,-4.231,-2.332,140.775,11.865,12.088,148.857,150,77.917,8.827,5.93,0,NA,0,0.15,0.074,Inf,91,117,26.1,1.082,cycle
6,13894,1358340363,12:46:03,44,10.86,12.828,435.392,20.866,9.153,212.182,221,2525.501,50.254,18.532,4,964.761,480.362,0.2,0.297,Inf,19,45,26.3,1.011,cycle
7,13894,1358340407,12:46:47,58,3.568,6.43,471.954,21.725,6.725,151.672,144.5,937.557,30.62,11.861,1,3727.16,3907.392,0.2,0.148,Inf,54,112,26.5,1.068,cycle
8,13894,1358340465,12:47:45,37,-33.189,-23.905,520.631,22.817,14.001,155.351,149,1396.401,37.368,16.309,0,NA,0,0.85,1.112,Inf,72,115,26.8,1.038,cycle
9,13894,1358340502,12:48:22,26,-17.873,-16.257,23.4,4.837,5.289,149.423,149,28.014,5.293,4.448,0,NA,0,1.6,1.26,Inf,99,112,26.8,1.047,cycle
10,13894,1358340528,12:48:48,36,-21.399,-20.787,865.092,29.412,22.66,167.889,160.5,1851.759,43.032,40.771,3,1057.18,310.605,0.55,0.667,Inf,54,128,26.9,0.997,cycle
11,13894,1358340564,12:49:24,35,-25.588,-17.37,1299.532,36.049,40.273,177,184,2441.412,49.411,40.03,1,212.839,223.131,0.85,1.112,Inf,47,107,26.9,1.076,cycle
12,13894,1358340599,12:49:59,30,-22.748,-20.056,316.966,17.804,7.062,176.6,181,1632.317,40.402,9.637,1,2003.234,2100.103,3.4,4.744,Inf,46,99,26.9,1.082,cycle
13,13894,1358340629,12:50:29,21,-12.461,-12.629,21.189,4.603,2.786,163.524,163,28.362,5.326,2.965,0,NA,0,0.2,0.148,2,75,83,26.9,1.062,cycle
14,13894,1358340650,12:50:50,66,-12.863,0.001,1949.357,44.152,56.952,206.485,218,1457.484,38.177,25.945,8,966.856,415.128,0.15,0.222,Inf,23,77,27,1.093,cycle
16,13894,1358340717,12:51:57,69,-8.522,-12.405,257.819,16.057,10.466,160.942,161,345.114,18.577,11.861,0,NA,0,0.1,0,Inf,76,115,27.1,1.061,cycle
18,13894,1358340796,12:53:16,20,-38.81,-47.443,1223.932,34.985,34.112,206.1,205,4481.884,66.947,52.632,0,NA,0,0.2,0.148,Inf,23,128,27.1,1.079,cycle
1,13895,1358340141,12:42:21,36,5.766,7.963,625.459,25.009,12.666,152.973,136,4925.249,70.18,16.309,0,NA,0,0.1,0.148,Inf,76,131,26.4,1.023,cycle
2,13895,1358340178,12:42:58,104,3.488,4.76,249.046,15.781,7.923,235.942,237,630.968,25.119,8.896,8,1593.874,545.597,0.2,0.148,Inf,19,69,26.2,1.026,cycle
3,13895,1358340282,12:44:42,33,9.542,12.599,85.676,9.256,6.923,223.333,221,566.479,23.801,28.169,0,NA,0,0.2,0.148,Inf,28,112,26.6,1.011,cycle
4,13895,1358340315,12:45:15,143,6.121,7.399,128.976,11.357,10.673,208.895,228,2088.151,45.696,37.065,3,2796.474,3459.647,0.2,0.148,Inf,52,131,27.1,1.009,cycle
5,13895,1358340458,12:47:38,44,-30.921,-25.988,952.537,30.863,26.939,171.114,150.5,1347.684,36.711,18.532,1,231.224,242.405,0.1,0.148,Inf,67,117,27.6,1.058,cycle
6,13895,1358340502,12:48:22,39,-7.956,-7.233,21.425,4.629,3.886,152.308,152,225.955,15.032,10.378,0,NA,0,4.95,6.301,Inf,107,117,27.7,1.057,cycle
7,13895,1358340541,12:49:01,51,3.974,2.736,2355.943,48.538,57.639,188.373,197,3385.838,58.188,72.647,5,1001.965,461.089,0.2,0.148,Inf,34,101,27.9,1.111,cycle
8,13895,1358340592,12:49:52,35,-23.348,-19.165,340.702,18.458,12.755,155.029,151,1800.97,42.438,20.756,1,1276.328,1338.046,0.25,0.222,Inf,88,120,27.9,1.075,cycle
9,13895,1358340627,12:50:27,23,-7.466,-8.087,10.646,3.263,3.311,150.87,154,106.119,10.301,5.93,0,NA,0,27.1,0.89,0,104,112,27.9,1.046,cycle
10,13895,1358340650,12:50:50,43,-0.619,9.51,961.697,31.011,12.014,211.814,233,2751.441,52.454,17.791,2,1506.43,631.588,0.1,0,Inf,30,133,28.1,1.097,cycle
11,13895,1358340693,12:51:33,24,-12.216,-22.677,2248.928,47.423,53.815,190.042,189.5,1488.737,38.584,30.393,4,297.175,225.355,0.1,0,Inf,41,101,28,1.001,cycle
12,13895,1358340717,12:51:57,90,-14.643,-13.821,438.818,20.948,13.393,152.3,149,408.639,20.215,11.119,3,3825.08,560.423,0.2,0.148,Inf,98,179,28.1,1.1,cycle
2,13894,1358343282,13:34:42,49,-66.636,-78.569,835.481,28.905,0.678,163.816,180,3885.32,62.332,2.965,2,2494.045,266.868,28.75,11.713,0.333,48,80,27.2,1.001,swim
3,13894,1358343331,13:35:31,65,26.267,27.701,370.82,19.257,20.077,144.938,155,4078.434,63.863,77.095,8,256.368,274.281,0.1,0,Inf,43,91,27.4,1.015,swim
4,13894,1358343396,13:36:36,62,16.598,24.017,713.787,26.717,15.741,167.71,158,1675.029,40.927,32.617,10,566.992,287.624,0.2,0.148,Inf,34,96,28.2,1.029,swim
5,13894,1358343458,13:37:38,57,16.257,45.122,2359.513,48.575,23.242,123.596,125,3402.316,58.329,63.752,6,593.9,352.859,0.15,0.074,Inf,58,139,28.4,1.289,swim
6,13894,1358343515,13:38:35,100,-26.978,-32.3,1150.696,33.922,39.064,139.85,141,4970.856,70.504,77.837,21,439.189,256.49,0.5,0.593,Inf,44,165,28.7,1.462,swim
7,13894,1358343615,13:40:15,33,-19.982,-17.293,929.067,30.481,32.958,160.758,159,1934.877,43.987,51.891,8,315.829,213.494,1.4,0,Inf,43,152,28.7,1.422,swim
8,13894,1358343648,13:40:48,38,-5.082,-12.062,727.437,26.971,33.231,141.132,142.5,870.982,29.512,34.841,18,117.089,102.299,0.5,0,Inf,62,147,28.7,1.104,swim
10,13894,1358343702,13:41:42,70,-8.962,-11.938,475.575,21.808,14.621,140.043,144.5,1755.375,41.897,51.891,35,134.696,98.593,0.5,0,Inf,54,107,28.9,1.178,swim
11,13894,1358343772,13:42:52,49,-2.46,-5.319,792.204,28.146,24.595,133.878,138,1745.86,41.783,57.821,21,183.287,131.21,0.5,0,Inf,63,152,29,1.166,swim
12,13894,1358343821,13:43:41,43,-0.353,-4.782,1179.775,34.348,50.989,135.721,141,665.158,25.791,20.756,22,120.251,88.956,0.5,0,Inf,58,128,29,1.106,swim
13,13894,1358343864,13:44:24,60,-1.507,-8.012,816.475,28.574,30.757,143.067,146,873.08,29.548,28.169,23,197.267,157.897,0.5,0,Inf,70,168,29,1.142,swim
14,13894,1358343924,13:45:24,87,-7.818,-12.277,764.699,27.653,22.964,155.609,159,1618.194,40.227,40.03,31,262.476,159.38,0.5,0,Inf,54,179,29.2,1.136,swim
15,13894,1358344011,13:46:51,35,6.212,12.955,2123.06,46.077,50.893,135.457,141,1602.314,40.029,53.374,8,267.877,327.655,0.2,0.074,Inf,83,203,29.1,1.256,swim
16,13894,1358344046,13:47:26,45,0.763,4.534,1660.021,40.743,53.908,162.778,158,5871.586,76.626,72.647,6,415.93,553.01,0.35,0.148,Inf,48,187,29,1.144,swim
2,13901,1358342353,13:19:13,27,8.498,3.765,1656.16,40.696,58.086,123.148,149,10064.977,100.324,87.473,1,457.498,479.621,0.1,0,Inf,25,72,27.9,1.168,swim
3,13901,1358342380,13:19:40,65,-3.3,-3.621,222.132,14.904,11.053,214.646,213,1316.857,36.289,32.617,2,2530.541,2005.958,0.1,0,Inf,29,72,27.5,1.043,swim
4,13901,1358342445,13:20:45,24,-18.788,-22.139,1491.58,38.621,61.469,193,221,8825.478,93.944,60.787,3,457.861,418.093,0.1,0.148,Inf,59,141,27.7,1.094,swim
5,13901,1358342469,13:21:09,80,16.861,12.918,889.052,29.817,30.309,196.5,206.5,2538.025,50.379,42.254,4,1091.843,714.613,0.2,0.148,Inf,78,171,27.7,1.028,swim
6,13901,1358342549,13:22:29,24,21.139,14.231,934.047,30.562,32.507,200.167,187,1722.058,41.498,38.548,5,302.223,467.019,0.1,0,Inf,71,85,27.9,1.131,swim
7,13901,1358342573,13:22:53,118,-17.092,-19.717,1679.388,40.98,45.538,142.992,150,4660.248,68.266,56.339,20,551.917,268.351,0.6,0.741,Inf,67,181,28.7,1.726,swim
8,13901,1358342691,13:24:51,41,-26.384,-26.29,1155.426,33.992,34.962,158.878,147,3649.36,60.41,41.513,4,675.953,673.1,0.5,0.297,Inf,71,213,29.3,1.337,swim
9,13901,1358342732,13:25:32,58,-28.214,-32.3,982.565,31.346,35.628,144.259,143.5,2583.985,50.833,26.687,6,751.258,639.001,0.5,0.148,Inf,61,187,29.3,1.475,swim
10,13901,1358342790,13:26:30,43,-23.293,-25.048,1746.367,41.79,42.482,144.721,157,6170.635,78.553,78.578,10,290.424,275.764,0.5,0,Inf,41,152,29.5,1.566,swim
11,13901,1358342833,13:27:13,45,-11.529,-11.223,548.091,23.411,26.331,185.667,222,7719.409,87.86,45.961,5,900.284,274.281,1.3,0.297,Inf,34,139,29.5,1.213,swim
12,13901,1358342878,13:27:58,102,-30.544,-34.246,1285.122,35.849,42.509,155.245,156,3924.385,62.645,55.597,15,482.223,489.258,0.5,0.593,Inf,44,144,29.5,1.404,swim
14,13901,1358342994,13:29:54,97,-5.294,-10.841,956.438,30.926,35.159,138.639,143,1207.275,34.746,32.617,37,185.075,74.871,0.5,0,Inf,64,141,29.5,1.098,swim
15,13901,1358343091,13:31:31,24,5.633,-15.164,994.297,31.532,23.896,139.958,129.5,1464.824,38.273,38.548,7,121.902,89.697,0.5,0,Inf,71,139,29.5,1.172,swim
16,13901,1358343115,13:31:55,44,-27.546,-26.758,1339.792,36.603,39.822,144.136,146,3942.911,62.793,60.787,8,280.74,260.938,0.5,0.148,Inf,54,152,29.5,1.58,swim
17,13901,1358343159,13:32:39,32,-37.134,-40.995,1030.428,32.1,32.769,158.406,150.5,5327.346,72.989,59.304,4,489.146,320.242,0.5,0.148,Inf,50,152,29.5,1.438,swim
19,13901,1358343199,13:33:19,106,4.604,5.603,933.847,30.559,32.982,157.991,167,2393.648,48.925,45.961,19,503.837,384.735,0.3,0.148,Inf,43,104,29.5,1.084,swim
20,13901,1358343305,13:35:05,24,-1.112,0.337,221.016,14.867,15.516,134.042,134,1578.303,39.728,6.672,1,1003.385,1051.905,0.1,0,Inf,7,96,29.5,1.196,swim
21,13901,1358343329,13:35:29,22,-10.708,-9.114,407.162,20.178,21.567,176.591,162,2685.872,51.825,34.841,16,167.379,14.826,0.8,0,Inf,0,0,29.5,1.414,swim
2,13893,1358342875,13:27:55,51,4.784,6.274,547.928,23.408,14.765,62.882,58,4619.146,67.964,63.752,2,1218.307,802.087,0.1,0.148,Inf,20,77,26.1,1.053,swim
3,13893,1358342926,13:28:46,34,0.374,0.703,60.475,7.777,7.164,53.029,47.5,638.332,25.265,16.309,4,807.252,268.351,0.1,0,Inf,15,67,26.1,1.07,swim
4,13893,1358342960,13:29:20,25,-16.554,-17.948,1531.952,39.14,56.274,78.72,58,3284.543,57.311,50.408,3,500.888,160.862,0.1,0.074,Inf,35,72,26.3,1.045,swim
5,13893,1358342985,13:29:45,20,-0.967,-3.729,311.997,17.663,15.512,66.15,70.5,360.029,18.974,16.309,0,NA,0,0.2,0.148,Inf,43,59,26.5,1.102,swim
6,13893,1358343005,13:30:05,32,43.193,54.648,1075.274,32.791,16.188,85.406,36.5,13544.314,116.38,63.752,2,1188.785,942.934,0.1,0,Inf,30,109,26.7,0.989,swim
7,13893,1358343037,13:30:37,36,9.56,8.486,325.897,18.053,9.591,60,55,738.286,27.171,28.169,3,858.702,756.867,0.15,0.148,Inf,20,40,27,1.023,swim
8,13893,1358343073,13:31:13,40,31.032,34.969,1390.483,37.289,40.354,60.5,30,8109.897,90.055,51.15,2,1653.243,671.618,0.4,0.297,Inf,25,72,27.3,1.03,swim
9,13893,1358343113,13:31:53,74,-27.459,-26.941,1051.265,32.423,33.873,72.595,3,16008.738,126.526,47.443,7,671.721,621.209,0.6,0.148,Inf,26,112,27.8,1.488,swim
10,13893,1358343187,13:33:07,161,-28.261,-34.093,1321.564,36.353,37.109,62.534,23,11745.663,108.377,59.304,10,1727.719,1460.361,0.5,0.148,Inf,15,107,27.9,1.508,swim
11,13893,1358343348,13:35:48,49,-14.959,-17.172,475.977,21.817,20.133,77.245,73,3835.314,61.93,50.408,17,262.729,135.658,0.4,0,Inf,46,141,27.9,1.246,swim
12,13893,1358343397,13:36:37,116,-26.742,-31.66,1440.771,37.957,36.797,100.198,35.5,16591.291,128.807,82.284,9,1570.355,507.049,0.5,0.519,Inf,17,64,27.9,1.367,swim
13,13893,1358343513,13:38:33,44,1.843,-6.855,856.168,29.26,27.1,81,17,16463.395,128.31,35.582,15,220.323,118.608,0.5,0,Inf,10,51,27.9,1.049,swim
14,13893,1358343557,13:39:17,255,-6.171,-7.917,1256.539,35.448,41.033,72.894,18,14732.575,121.378,40.03,46,523.546,348.411,0.5,0.148,Inf,12,75,27.9,1.172,swim
15,13893,1358343812,13:43:32,22,16.677,25.073,924.365,30.403,24.504,82.136,60,5729.076,75.691,64.493,1,1321.583,1385.49,0.2,0.148,Inf,24,77,28,1.093,swim
16,13893,1358343834,13:43:54,30,10.086,-0.751,675.337,25.987,16.89,147.3,144.5,2061.597,45.405,32.617,12,374.295,40.03,0.8,0.148,Inf,19,43,27.9,1.142,swim
1,13897,1358342350,13:19:10,57,84.841,84.818,0.306,0.554,0.553,101.655,102,25.739,5.073,5.93,0,NA,0,24.2,24.759,1,29,35,29.7,1.012,swim
3,13897,1358342410,13:20:10,72,-18.513,-14.791,813.44,28.521,21.53,54.625,45,1382.35,37.18,34.841,11,607.147,275.764,0.2,0.148,Inf,22,83,29.2,1.078,swim
4,13897,1358342482,13:21:22,39,35.081,38.544,1079.401,32.854,33.459,96.769,61,12022.34,109.646,54.856,3,1036.681,592.299,0.1,0.074,Inf,32,80,29.7,1.009,swim
6,13897,1358342523,13:22:03,338,-16.185,-16.468,1292.586,35.953,38.629,70.092,32,11730.974,108.31,65.234,43,956.771,290.59,0.5,0.445,Inf,22,136,31.1,1.368,swim
